TICKER,MID_PRICE,MID_YIELD,DURATION_MID,CONVEXITY_MID,BID_ASK_SPREAD,AVG_DAILY_TRADE_COUNT_60,SPREAD_ROLLING_STD,VOLUME_ROLLING_STD,YIELD_SPREAD,MARKET_REGIME,vol_regime,liquidity_score,VOLUME_ROLLING_STD_LOG,MID_YIELD_WINS,MID_YIELD_CAPPED
AAT,85.60004362323257,6.455347823082115,5.855457883256083,0.41063520182169505,0.3377238240064885,8.33325538856042,0.021197466011851643,91.7896307436117,-0.0006752214578061148,High Volatility,medium,2.4032514931399285,0.9178963074361169,0.06455347823082115,0.06455347823082115
ADC,87.77009766253049,5.552567107141005,4.049890650365854,0.1973271948567073,0.10315274390243873,5.175497459346037,0.00434208848931829,21.40266763703775,-0.00028505581916153444,Low Volatility,high,1.4925766002551317,0.21402667637037753,0.05552567107141005,0.05552567107141005
AER,92.06022245210819,5.404923000462649,5.1129980884994835,0.4289812441975998,0.16214360146967197,8.713875553769356,0.09546497973537245,140.02940756723507,-0.0003294236671466346,Normal,low,2.513019637485203,1.4002940756723508,0.05404923000462648,0.05404923000462648
AL,95.12811227244948,5.210107107609501,3.1863025700678094,0.1460920675954821,0.08786258821297424,10.778924088136435,0.04559699529081428,172.3262476959044,-0.00028611310531862194,Normal,medium,3.108564924677156,1.723262476959044,0.05210107107609501,0.05210107107609501
AMH,95.44684355396407,5.287988753464672,4.9318068621137305,0.3214536789290569,0.15699871323537404,6.395246029526774,0.057678628951059664,70.67446812956807,-0.00032249966700282777,Normal,low,1.8443433991661808,0.7067446812956807,0.05287988753464672,0.05287988753464672
AMT,93.86661812665423,5.166935349509893,4.644241330056347,0.3777088322202812,0.1247428241336488,10.85175948127504,0.08108402463686666,194.33378235001,-0.0002744048218834492,Normal,medium,3.1295701332243557,1.9433378235001002,0.05166935349509893,0.05166935349509893
ARE,87.0942780820965,5.340271024600313,7.805766208526622,0.8724655268314537,0.22370575864316247,7.61312202350624,0.0844556638181188,122.1444885631575,-0.00032201509976468,Normal,high,2.19557016043985,1.221444885631575,0.053402710246003134,0.053402710246003134
AVB,97.64540089705915,5.05479149597173,4.474554373889259,0.32345804983671644,0.11206800449438191,5.639308344572315,0.07804144907479858,25.321294572836724,-0.00022664885826781587,Low Volatility,low,1.6263363556545356,0.2532129457283672,0.0505479149597173,0.0505479149597173
AVOL,99.024625601621,5.832915614046722,4.050122052493027,0.1989417289313947,0.1756345885641562,5.815132952892608,0.009431746351738029,18.351213407224343,-0.00043154957735002086,Normal,low,1.677042920229113,0.18351213407224343,0.058329156140467214,0.058329156140467214
AYR,97.86125335885488,5.37697336342716,1.8277704813791693,0.04395524744425913,0.05382730882709333,16.708777399592467,0.0016299586738203154,9.69033399049346,-0.00029396455658946735,Low Volatility,medium,4.8186923791195815,0.0969033399049346,0.0537697336342716,0.0537697336342716
BPR,91.51112938211112,7.857117619764618,2.606693518099415,0.08315048212327486,0.2311830409356723,5.117517543859649,0.006939116790949447,21.499469339494024,-0.0009663087696783164,High Volatility,low,1.4758556056416618,0.21499469339494023,0.07857117619764618,0.07857117619764618
BRX,94.48658896551945,5.220609800360158,4.877721831844553,0.2843587972900245,0.1533707160339657,6.563810689513616,0.011600479903522974,42.898229032203496,-0.0003279128367288365,Normal,medium,1.8929562463567413,0.42898229032203494,0.052206098003601584,0.052206098003601584
